,date,AAPL,JPM,XOM,F,LMT
109,2021-06-23,133.7,151.12,64.26,15.42,377.33
110,2021-06-24,133.41,152.51,64.52,15.26,377.73
111,2021-06-25,133.11,154.05,64.66,15.19,382.01
112,2021-06-28,134.78,154.33,63.01,14.96,380.07
113,2021-06-29,136.33,154.14,62.62,15.01,373.42
114,2021-06-30,136.96,155.54,63.08,14.86,378.35
115,2021-07-01,137.27,157.08,63.26,14.91,380.22
116,2021-07-02,139.96,156.03,63.17,14.93,381.49
117,2021-07-06,142.02,153.41,61.37,14.5,378.67
118,2021-07-07,144.57,153.59,60.41,14.23,383.48
119,2021-07-08,143.24,150.94,60.14,14.06,379.92
120,2021-07-09,145.11,155.77,61.23,14.48,383.11
121,2021-07-12,144.5,158.0,61.17,14.61,379.07
122,2021-07-13,145.64,155.65,60.88,14.42,377.84
123,2021-07-14,149.15,155.12,59.53,14.25,376.82
124,2021-07-15,148.48,155.46,58.95,14.01,378.25
125,2021-07-16,146.39,151.91,57.32,13.61,377.14
126,2021-07-19,142.45,146.97,55.35,13.28,372.02
127,2021-07-20,146.15,149.71,55.96,13.91,379.98
128,2021-07-21,145.4,152.86,57.76,14.19,380.89
129,2021-07-22,146.8,150.93,57.11,13.91,379.93
130,2021-07-23,148.56,150.64,57.04,13.82,380.77
131,2021-07-26,148.99,151.65,58.48,14.03,368.05
132,2021-07-27,146.77,151.45,57.83,13.79,374.73
133,2021-07-28,144.98,151.7,58.22,13.86,372.81
134,2021-07-29,145.64,153.0,58.93,14.39,372.6
135,2021-07-30,145.86,151.78,57.57,13.95,371.67
136,2021-08-02,145.52,151.17,57.58,13.91,368.3
137,2021-08-03,147.36,152.89,58.2,14.02,369.45
138,2021-08-04,146.95,151.24,56.84,13.32,361.64
139,2021-08-05,147.06,153.15,57.2,13.71,360.78
140,2021-08-06,146.14,157.5,57.86,13.8,362.05
141,2021-08-09,146.09,157.33,57.2,13.75,361.04
142,2021-08-10,145.6,159.26,58.18,13.82,362.24
143,2021-08-11,145.86,161.16,58.35,13.93,363.3
144,2021-08-12,148.89,161.79,57.35,13.9,359.75
145,2021-08-13,149.1,159.98,56.77,13.59,357.98
146,2021-08-16,151.12,158.93,55.94,13.46,360.25
147,2021-08-17,150.19,157.01,55.56,12.99,361.6
148,2021-08-18,146.36,155.58,54.39,13.0,356.6
149,2021-08-19,146.7,154.28,52.73,12.67,354.03
150,2021-08-20,148.19,154.72,52.74,12.57,357.17
151,2021-08-23,149.71,156.7,54.91,12.73,357.35
152,2021-08-24,149.62,157.67,55.36,13.08,359.0
153,2021-08-25,148.36,160.92,55.46,13.17,358.75
154,2021-08-26,147.54,161.75,54.71,12.9,361.62
155,2021-08-27,148.6,163.05,55.77,13.31,361.99
156,2021-08-30,153.12,160.44,55.16,13.05,362.05
157,2021-08-31,151.83,159.95,54.52,13.03,359.8
158,2021-09-01,152.51,159.72,53.77,13.11,356.66
159,2021-09-02,153.65,160.46,55.08,13.01,358.05
160,2021-09-03,154.3,159.49,54.87,12.89,356.0
161,2021-09-07,156.69,159.21,54.55,12.95,349.2
162,2021-09-08,155.11,158.5,54.05,13.03,351.46
163,2021-09-09,154.07,159.19,54.09,12.76,348.93
164,2021-09-10,148.97,157.36,53.98,12.68,345.88
165,2021-09-13,149.55,159.86,55.37,12.99,346.31
166,2021-09-14,148.12,157.07,54.58,12.86,344.34
167,2021-09-15,149.03,158.16,56.42,13.22,345.07
168,2021-09-16,148.79,158.09,55.82,13.4,341.5
169,2021-09-17,146.06,157.68,55.16,13.55,340.98
170,2021-09-20,142.94,152.96,53.69,12.82,338.46
171,2021-09-21,143.43,152.98,53.64,12.77,336.05
172,2021-09-22,145.85,155.91,55.21,13.23,341.73
173,2021-09-23,146.83,161.18,57.08,13.71,344.2
174,2021-09-24,146.92,163.04,57.59,13.78,349.52
175,2021-09-27,145.37,166.98,59.3,14.16,353.36
176,2021-09-28,141.91,166.08,59.92,14.31,352.15
177,2021-09-29,142.83,165.95,59.88,14.3,350.29
178,2021-09-30,141.5,163.69,58.82,14.16,345.1
179,2021-10-01,142.65,167.13,60.93,14.16,347.8
180,2021-10-04,139.14,166.95,61.72,14.35,345.99
181,2021-10-05,141.11,168.66,61.62,14.29,347.75
182,2021-10-06,142.0,169.02,60.49,14.12,349.99
183,2021-10-07,143.29,170.09,60.66,14.89,351.78
184,2021-10-08,142.9,170.22,62.18,15.12,353.75
185,2021-10-11,142.81,166.64,61.56,15.09,357.08
186,2021-10-12,141.51,165.36,61.24,15.64,358.12
187,2021-10-13,140.91,161.0,61.07,15.51,361.76
188,2021-10-14,143.76,163.47,62.0,15.45,362.07
189,2021-10-15,144.84,166.61,62.59,15.7,365.62
190,2021-10-18,146.55,166.55,62.56,15.56,365.0
191,2021-10-19,148.76,168.57,63.5,15.42,371.07
192,2021-10-20,149.26,170.84,63.85,16.04,371.13
