,date,AAPL,JPM,XOM,F,LMT
478,2022-12-08,142.65,132.88,104.42,13.12,485.38
479,2022-12-09,142.16,132.16,103.54,13.18,483.58
480,2022-12-12,144.49,134.21,106.09,13.46,486.32
481,2022-12-13,145.47,134.08,107.25,13.57,480.22
482,2022-12-14,143.21,133.41,106.46,13.48,485.19
483,2022-12-15,136.5,130.1,105.44,13.03,478.79
484,2022-12-16,134.51,129.29,104.7,12.12,481.79
485,2022-12-19,132.37,130.06,105.17,11.69,481.79
486,2022-12-20,132.3,130.69,106.69,11.47,486.15
487,2022-12-21,135.45,132.16,108.06,11.78,487.65
488,2022-12-22,132.23,130.66,105.88,11.31,479.3
489,2022-12-23,131.86,131.28,108.68,11.36,483.29
490,2022-12-27,130.03,131.74,110.19,11.2,485.5
491,2022-12-28,126.04,132.46,108.38,10.95,483.22
492,2022-12-29,129.61,133.22,109.2,11.54,487.05
493,2022-12-30,129.93,134.1,110.3,11.63,486.49
